null,"AAA and network security for mobile access : radius, diameter, EAP, PKI and IP mobility","Madjid Nakhjiri, Mahsa Nakhjiri.",Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/39395.jpg," Chichester, England ; Hoboken, NJ : John Wiley & Sons,  2005",3C,15,47000,55
null,Active and programmable networks for adaptive architectures and services [electronic resource],Syed Asad Hussain.,Báo tạp chí,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/65547.jpg," Boca Raton, FL : Auerbach Publications,  2006",3D,16,130000,56
null,An introduction to ATM networks ,Harry G. Perros.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/275967.jpg," Chichester [England] ; New York : Wiley,  c2002.",3C,17,140000,57
null,Cẩm nang điều hành và quản trị doanh nghiệp,Minh Thư Phạm.,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/18655.jpg," Hà Nội : Từ điển Bách khoa,  2007",4A,18,135000,58
null,Chuyện quản trị doanh nghiệp : những kỹ năng và kinh nghiệm quản trị trong thực tiễn kinh doanh ở Việt Nam,,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/72356.jpg,TP.HCM : Tổng hợp Thành phố Hồ Chí Minh : Thời báo Kinh tế Sài Gòn Tổng hợp Thành phố Hồ Chí Minh : Thời báo Kinh tế Sài Gòn  2009,4A,17,47000,59
null,Đàm phán trong kinh doanh quốc tế,"Đoàn Thị Hồng Vân , Kim Ngọc Đạt.",Báo tạp chí,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/22087.jpg,"Hà Nội. : Lao Động Xã hội,  2010",4B,18,130000,60
null,Kế toán quản trị doanh nghiệp : giáo trình ,Đoàn Xuân Tiên.,Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/19359.jpg,"Hà Nội : Tài Chính,  2007",4A,17,140000,61
null,"
Kinh tế và quản trị doanh nghiệp : giáo trình","Ngô Xuân Bình, Hoàng Văn Hải.",Sách giáo trình,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/18795.jpg,"Hà Nội : Giáo dục Việt Nam ,  2007",4A,18,140000,62
null,"
Quản trị doanh nghiệp",Đỗ Thị Tuyết.,Báo tạp chí,KT,KT1,http://data.lib.hutech.edu.vn/BookImg/46100.jpg,"Cần Thơ : Đại học Cần Thơ,  2007",4A,15,140000,63
null,Bài tập thực hành kế toán : lập chứng từ - ghi sổ - lập báo cáo tài chính ,"Trịnh Quốc Hùng, Trịnh Minh Tân.",Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/44920.jpg,"Tp.HCM : Phương Đông ,  2010",4A,16,135000,64
null,"Báo cáo tài chính trình bày, phân tích, kiểm tra và kiểm toán","Phạm Đức Cường, Trần Mạnh Dũng, Trần Trung Tuấn (chủ biên).",Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/121955.jpg,"Hà Nội : Tài chính,  2018",4B,17,47000,65
null,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán của các công ty dịch vụ công ích TP.HCM,Hoàng Mộng Ngọc; Phạm Ngọc Toàn,Đồ án TN,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2016,4B,18,130000,66
null,Chế độ kế toán : báo cáo tài chính - chứng từ và ghi sổ kế toán - sơ đồ kế toán. Quyển 2,Bộ Tài Chính.,Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/19439.jpg," Hà Nội : Giao Thông Vận Tải,  2008",4A,17,140000,67
null,"Chế độ kế toán doanh nghiệp . Q.2 - Báo cáo tài chính chứng từ và sổ kế toán, hệ thống sơ đồ kế toán",Bộ Tài Chính.,Sách giáo trình,KT,KT2,http://data.lib.hutech.edu.vn/BookImg/19439.jpg," Hà Nội : Giao Thông Vận Tải,  2008",4A,17,135000,68
null,Các nhân tố ảnh hưởng đến tỷ lệ chi trả cổ tức của các công ty niêm yết tại thị trường chứng khoán Việt Nam,Lê Thị Hồng Nhung; Nguyễn Trần Phúc (Hướng dẫn khoa học).,Đồ án TN,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2016,4B,18,47000,69
null,Cơ sở hình thành giá cả : Giáo trình,"Ngô Trí Long, Nguyễn Văn Dần.",Sách giáo trình,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/19363.jpg,"Hà Nội : Tài Chính,  2007",4C,15,140000,70
null,Consumer price index manual : Theory and practice,,Sách tham khảo,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/50182.jpg," Geneva : International Labour office ,  2004",4C,16,135000,71
null,Analyzing the large numbers of variables in biomedical and satellite imagery ,Phillip I. Good.,Sách tham khảo,KT,KT3,http://data.lib.hutech.edu.vn/BookImg/96949.jpg," Hoboken, N.J. : Wiley,  2011",4C,17,47000,72
null,"
Danh mục & thuế suất đối với hàng hóa xuất nhập khẩu",Bộ Tài Chính.,Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/19378.jpg,"Hà Nội : Tài Chính,  2007",4D,17,130000,73
null,Hoàn thiện thủ tục hải quan điện tử đối với hàng hóa xuất nhập khẩu thương mại tại cục hải quan tỉnh Bà Rịa - Vũng Tàu,Vũ Tuấn Hưng;,Đồ án TN,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/luanvan_ths.jpg,TP.HCM : HUTECH  2014,4E,18,140000,74
null,Informal and Illegal Movement in the Upper Greater Mekong Subregion : Costs and Benefits of Informal Networks for Goods and People,,Sách tham khảo,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/203166.jpg," Institut de recherche sur lAsie du Sud-Est contemporaine,  2010",4E,15,135000,75
null,"
Giáo trình thanh toán quốc tế ",Lê Phan Thị Diệu Thảo (chủ biên)...[ và những người khác].,Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/140613.jpg," TP.HCM : Phương Đông,  2013",4E,16,47000,76
null,"
Cách hoạch định và thực thi chiến lược","Minh Đức Nguyễn dịch, John L Colley.",Sách giáo trình,KT,KT4,http://data.lib.hutech.edu.vn/BookImg/19397.jpg,"Tp.HCM : Tổng hợp Thành phố Hồ Chí Minh,  2007",4F,17,130000,77
null,100 great marketing ideas : from leading companies around the world,Jim Blythe.,Sách tham khảo,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/96941.jpg,"London : Marshall Cavendish Business,  2009",4F,18,140000,78
null,42 rules of marketing elektronisk ressurs, Laura Lowell,Sách giáo trình,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/96931.jpg,"Cupertino, CA : Superstar Press ,  2007",4F,17,140000,79
null,"501 killer marketing tactics to increase sales, maximize profits, and stomp your competition",Tom Feltenstein,Sách giáo trình,KT,KT5,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"Cupertino, CA : Superstar Press ,  2008",4F,18,140000,80
null,"
500 Câu hỏi trắc nghiệm kinh tế học vi mô",Tạ Đức Khánh.,Sách giáo trình,KT,,http://data.lib.hutech.edu.vn/BookImg/18781.jpg,"Hà Nội : Giáo dục Việt Nam ,  2008",4E,15,135000,81
null,Bài tập kinh tế vi mô.,"Nguyễn Thị Đà, Nguyễn Thị Bích Thủy, Trương Hồng Trình.",Sách giáo trình,KT,,http://data.lib.hutech.edu.vn/BookImg/110793.jpg," Hà Nội : Tài Chính,  2010",4E,17,47000,82
